model_key,delta_f1_mean,delta_f1_std,delta_f1_min,delta_f1_max,delta_f2_mean,delta_f2_std,delta_f2_min,delta_f2_max,delta_f3_mean,delta_f3_std,delta_f3_min,delta_f3_max,delta_f4_mean,delta_f4_std,delta_f4_min,delta_f4_max
gemma,-0.008339333333333334,0.17567129698627026,-0.43225,0.4497,-0.0033333333333333335,0.05773502691896258,-1.0,0.0,-0.17303336666666666,0.17347302980888932,-0.625079,0.34536,0.22142737,1.0528900795819827,-2.415808,4.027022
phi,0.018038166666666668,0.1769745442127292,-0.4574,0.48255,-0.0033333333333333335,0.05773502691896258,-1.0,0.0,-0.009466146666666668,0.2084139937706277,-0.67042,0.478606,-0.023678770000000002,1.2333995466472614,-3.954802,4.703579
qwen,8.300000000000062e-05,0.1820344739603832,-0.44515,0.48055,0.0,0.08178608201095305,-1.0,1.0,-0.16957450999999998,0.1841726662912442,-0.586217,0.375467,-1.2370200833333334,1.4775206757434065,-5.825243,2.841635
