book,model_key,mean,std,min,max,count
1984,gemma,0.09267347199999999,0.22973892251268416,-0.47041275,0.6822575,50
1984,phi,-0.26561353400000004,0.28169618037540683,-0.9190404,0.4346398,50
animal_farm,gemma,-0.01395243600000001,0.21021331106549235,-0.4991304,0.4802354,50
animal_farm,phi,-0.122345804,0.24510887772099885,-0.7425114,0.29487365,50
fahrenheit,gemma,-0.050590829999999996,0.19239972020453983,-0.4565519,0.3285111,50
fahrenheit,phi,0.07631917799999999,0.2345228545108612,-0.34983925,0.74629875,50
iron_heel,gemma,-0.026077598999999996,0.23450531546071213,-0.5679574000000001,0.3936791,50
iron_heel,phi,0.09255175099999999,0.23957791260444228,-0.3111191000000001,0.6234275,50
time_machine,gemma,-0.057400851999999995,0.17234419515714264,-0.49555075,0.3092376,50
time_machine,phi,0.05521138400000001,0.19729180000211882,-0.3044469,0.49541755,50
we,gemma,0.040778014,0.28968409945742446,-0.4955016000000001,0.84738515,50
we,phi,0.14882150600000002,0.24437482803388735,-0.2472486,1.0446720500000002,50
